Starting Queue Size: 1000
Task Time Range: 1 to 100
Time: 1, Queue Size: 990, Servers: 11, Busy Servers: 10, Utilization: 90.9091%, Requests Processed: 0
Time: 3, Queue Size: 989, Servers: 12, Busy Servers: 10, Utilization: 83.3333%, Requests Processed: 1
Time: 5, Queue Size: 987, Servers: 13, Busy Servers: 12, Utilization: 92.3077%, Requests Processed: 1
Time: 7, Queue Size: 986, Servers: 14, Busy Servers: 13, Utilization: 92.8571%, Requests Processed: 1
Time: 9, Queue Size: 985, Servers: 15, Busy Servers: 14, Utilization: 93.3333%, Requests Processed: 1
Time: 11, Queue Size: 985, Servers: 16, Busy Servers: 15, Utilization: 93.75%, Requests Processed: 1
Time: 13, Queue Size: 985, Servers: 17, Busy Servers: 16, Utilization: 94.1176%, Requests Processed: 1
Time: 15, Queue Size: 984, Servers: 18, Busy Servers: 17, Utilization: 94.4444%, Requests Processed: 1
Time: 17, Queue Size: 983, Servers: 19, Busy Servers: 17, Utilization: 89.4737%, Requests Processed: 2
New request added! Current Queue Size: 983
Time: 19, Queue Size: 981, Servers: 20, Busy Servers: 19, Utilization: 95%, Requests Processed: 2
New request added! Current Queue Size: 981
Time: 21, Queue Size: 980, Servers: 21, Busy Servers: 20, Utilization: 95.2381%, Requests Processed: 2
Time: 23, Queue Size: 980, Servers: 22, Busy Servers: 21, Utilization: 95.4545%, Requests Processed: 2
Time: 25, Queue Size: 979, Servers: 23, Busy Servers: 21, Utilization: 91.3043%, Requests Processed: 3
Time: 27, Queue Size: 977, Servers: 24, Busy Servers: 23, Utilization: 95.8333%, Requests Processed: 3
Time: 29, Queue Size: 976, Servers: 25, Busy Servers: 24, Utilization: 96%, Requests Processed: 3
Time: 31, Queue Size: 975, Servers: 26, Busy Servers: 25, Utilization: 96.1538%, Requests Processed: 3
Time: 33, Queue Size: 974, Servers: 27, Busy Servers: 26, Utilization: 96.2963%, Requests Processed: 3
Time: 35, Queue Size: 973, Servers: 28, Busy Servers: 26, Utilization: 92.8571%, Requests Processed: 4
Time: 37, Queue Size: 971, Servers: 29, Busy Servers: 28, Utilization: 96.5517%, Requests Processed: 4
Time: 39, Queue Size: 970, Servers: 30, Busy Servers: 29, Utilization: 96.6667%, Requests Processed: 4
Time: 41, Queue Size: 969, Servers: 31, Busy Servers: 29, Utilization: 93.5484%, Requests Processed: 5
New request added! Current Queue Size: 969
Time: 43, Queue Size: 967, Servers: 32, Busy Servers: 31, Utilization: 96.875%, Requests Processed: 5
Time: 45, Queue Size: 966, Servers: 33, Busy Servers: 32, Utilization: 96.9697%, Requests Processed: 5
Time: 47, Queue Size: 965, Servers: 34, Busy Servers: 31, Utilization: 91.1765%, Requests Processed: 7
Time: 49, Queue Size: 962, Servers: 35, Busy Servers: 33, Utilization: 94.2857%, Requests Processed: 8
New request added! Current Queue Size: 962
Time: 51, Queue Size: 960, Servers: 36, Busy Servers: 35, Utilization: 97.2222%, Requests Processed: 8
Time: 53, Queue Size: 959, Servers: 37, Busy Servers: 36, Utilization: 97.2973%, Requests Processed: 8
Time: 55, Queue Size: 958, Servers: 38, Busy Servers: 37, Utilization: 97.3684%, Requests Processed: 8
Time: 57, Queue Size: 957, Servers: 39, Busy Servers: 37, Utilization: 94.8718%, Requests Processed: 9
Time: 59, Queue Size: 955, Servers: 40, Busy Servers: 39, Utilization: 97.5%, Requests Processed: 9
Time: 61, Queue Size: 954, Servers: 41, Busy Servers: 39, Utilization: 95.122%, Requests Processed: 10
